title,score,content
" Dull
","





5/10
","I don't have a comic book background (well I did sixty years ago), so I go into these films without predispositions. This was highly touted because of the title black superhero. And so I embraced it because I like it when barriers are broken. The problem was that the thing was convoluted and endless. I stayed with it to the bitter end but found little to make it unique among its Marvel brotherhood. If anything, it pulled in every cliche one could think of, having a black hero. Maybe the producers will learn from this and bring the guy back. By the way, it didn't deserve all those ""One"" ratings. There were some incredible scenes. It just didn't meld."
" I wish I enjoyed it like so many did, it just bored me.
","





3/10
","I feel so bad giving this film a poor rating, because I feel it's important for many reasons, socially, culturally, so important to finally see a principally black cast lead the way in the year's biggest movie event.Dazzling special effects, great acting, but aside from that I couldn't say much in favour of the film, if I'm being totally honest it bored me throughout, I yawned the whole way through, as everything in this movie has been literally done to death, it lacked pace, it lacked energy, it was hard to stay engaged.I saw it based on the many wonderful and positive reviews, maybe I was having an off day, it just bored me to tears. It's interesting, but all of the critics seemed to rave about it.I want to give huge credit to Chadwick Boseman though, he was great here, what a brave man, RIP.3/10."
" Despite all the hype, pretty much your average comic book movie
","





4/10
","After the death of his father, Prince T'Challa ascends to the throne of the small African country of Wakanda. T'Challa is also Black Panther, superhero. Now not only must he govern his country but defeat a dangerous adversary.An average comic book / superhero movie, which doesn't say much. Massively over-hyped and over-praised, largely because of the racial angle. What you have is ultimately nothing new: the usual action and CGI-centric storyline, the basic, wafer-thin plot, the token character development, i.e. just another Avengers-type movie.This is not a revolutionary movie in terms of breaking stereotypes - if you're looking for that, watch In The Heat Of The Night (1967), or any one of several Sidney Poitier movies, instead."
" I liked it at first.
","





5/10
",I am between a 5 and a 6 on this. It was vastly overrated by the professional reviewers. I am sure their reviews were politically motivated. I loved the cast but I agree that characters were superficial and not defined as they should have been. I also feel more humor was needed in the movie. This can't compare to other Marvel movies. It's a one shot deal for us. We don't need to hear any more preaching.
" Absolutely Overrated
","





5/10
","""Black Panther"" is a great deception for any viewer with brains. The hype creates expectation but the film is absolutely overrated. The plot and the characters are shallow and senseless. The Wakanda society accepts the dispute for the kingdom between the outsider Erik Killmonger and T'Challa without any plebiscite. The villain defeats T'Challa is a fair fight as per the Rules. Then Tchalla´s mother, sister and girlfriend recover him using the powerful plant destined to Wakanda kings. And T'Challa returns to Wakanda in a coup d'état, destroying the aircrafts sent by Killmonger to the spies. W'Kabi and his army support Killmonger and in the end, it seems that everything is all right in Wakanda that seems to have a great division between the social classes. There is also excessive references to the ""birth of mankind"" in the view of the writer. My vote is five.Title (Brazil): ""Pantera Negra"" (""Black Panther"")"
" An Honest Review
","





1/10
","I guess, because of the hype, I was expecting ""the best Marvel movie ever,"" or at least ""the best Marvel movie if the year.""I pray to God and Stan Lee that this isn't the best Marvel Movie of 2018.The fact is, there are maybe 3 laughs in the entire film. Three moments where you smile. Three moments where you crack a grin and they all come exclusively from Letitia Wright.And it wasn't because there were jokes and they didn't land. It was really because the movie took itself far too seriously. Like Winter Soldier and Civil War it had a message to tell...but unlike the Captain American movies, it thought its message was so serious that it couldn't laugh even at itself.I think, honestly, it even forgot it was a Marvel movie. In fact at time I think that the director, crew, and cast all thought that they were making ""Roots"" meets the new ""A Birth of a Nation""And Martin Freedman, yeah I think he was only there to prove that he could do a better American accent than his Sherlock counterpart. Maybe it was a bet, which part of the cast of Sherlock can hold an American accent throughout an entire film?And, honestly I am disappointed, because ALL three grins in the film went to Letitia Wright and Martin Freeman has some fairly decent comedic timing...they just didn't let it show. At least not for Freeman or ANYONE ELSE.Honestly, I'm surprised they even let Letitia Wright makes us smile or entertain us an any way.Honestly, it felt a lot like I was watching a college lecture...but a college lecture for a class that has a mandatory attendance policy and a professor that ONLY teaches from the book that he himself wrote...you get that kind of overly-serious pretentious feel to it.And...really, how often do people have to tell other people who they are in this movie? That really happened far too often and not in the ""Bond, James Bond"" way but in the ""If I tell you who I am it's going to give me extra power"" kind of way.And in the end you get two fight scenes by a waterfall that weren't very inspired and failed in comparison to other MCU fights. You get a car chase that was again...uninspired and fell flat but this time in the ""we've seen this before only done better"" kind of way. And a climatic battle that felt a little like the Gungan/Battle Droid battle in The Phantom Menace only with better CGI and an uninspired fight between the two powers rather than the Jedi dual.At least Winter Soldier and Civil War allowed us to laugh and relax a bit during the more serious MCU fair. At least they pulled out the stops when it came to action and, despite the message...tried to deliver something, anything.All this gave us was, well, a lecture and one where the action seemed, well, it seemed like the cast and crew felt they were obligated to give us that and thus did it with disdain.. It felt like all involved thought that entertainment would take away from the preaching.And really, have a message....just please entertain me. I work hard. I already went to school. What I want for the price of admission is to be entertained.If you can't do that, if you only let Letitia Wright make me smile and then only three times in a super hero movie that doesn't wow with action...then you've failed.In fact, you've failed so much that you aren't ""the first Black super-hero movie"" I'm taking that pilfered title and giving it back to Blade...because at least Blade was entertaining."
" Over hyped because it has a lot of Black people in it.
","





5/10
","First of all before anyone calls me racist on the other side of the screen I am a melinated person. I'm a huge MCU fan too. Black Panther outside of the movie is a cool badass character.Anyways this movie has a great story at the same time it is underwhelming. The acting and costumes were marvelous. Very traditional and technology feel.
But that does not mean it's automatically the best movie or a great movie. Visuals and ""panther"" power is not enough.The over hypeness made this movie look bad. It could have been more dramatic on so many levels. It could have been THE MOVIE but was not.The movie rushes to make Killmonger king who becomes king for less than a day. T'Challa is in a coma for less than a few hours. Then the movie just rushes to a fight and that's about it.This movie lacks drama, dialogue and development. The over hypeness from fans, media and band-wagoners is what kills this movie from being higher than a 5.I suppose Mcu fans and many black people were just ill during the time of the release to notice the flaws of this hash.This movie could be so much more but with the MCU formula we have to settle for subpar movies.Black Panther is one of the most overrated movies of all time . Black Panther isn't the first Black Superhero to make it to the big screen, get that through your head. So where was all this hype coming from? And Why?
Black Panther is not a good movie.I recommend this movie to the brainwashed.Verdict: The Pantah and T'challa are great characters. It's just this movie was hash."
" Doesn't quite reign king
","





6/10
","Wanted to see 'Black Panther' for a while, one of my most anticipated films of this early half of 2018 and as somebody who likes to loves most of Marvel's films. The idea was interesting as was what the film was hyped up to be, the trailer looked great and the high ratings and critical acclaim promised even more. My thoughts were that 'Black Panther' was a decent and intriguing film with a lot of very well done to great elements, but it didn't blow me away and left me disappointed after the hype. As indicated, far from hated it, didn't love it. Actually saw 'Black Panther' on opening weekend in a sold out showing (it was touch and go as to whether a ticket could be gotten), but had to properly form my thoughts for a while and was nervous seeing the very divisive IMDb reaction and the condescension on both sides (mostly negative), which has slightly died down since to feel less nervous.Starting with the good/great things, 'Black Panther' is mostly impressive visually. The special effects were variable, but there were some spectacular ones, while it's beautifully and stylishly shot, slickly edited and sumptuously costumed. It's the extraordinary production design that was most note-worthy. Loved the use of technology, which was really cool. The music has the right amount of haunting intensity, energy, dignity and pathos, so a fine score on its own but not always utilised right in the film, a few ill-fitting moments mood-wise.Much of the action is exciting, though there could have been more, and there is a good deal of thought-provoking script-writing with some nicely injected humour. One is immersed in the world of Wakanda, which is a fascinating world in thematic terms. The story does grip once it gets going and doesn't feel as confused and jumpy, with timeline and location changes needing to be clearer, like it did to begin with and a lot of it even when turning our everyday struggles on their heads is surprisingly relevant. Personally thought that much of the acting was good, with a very charismatic lead performance from Chadwick Boseman, Michael B. Jordan bringing a self-loathing conflicted edge and swagger to Killmonger and Andy Serkis relishing his role with aplomb. The women are just as good, with a dignified Lupita Nyong'o, regal, no-nonsense and feisty Danai Gurira and particularly a funny and endearing Letitia Wright. While his role is small, Daniel Kaluuya is great fun in it. Direction is above competent, if not innovative, and really appreciated the film making Killmonger more than the standard Marvel villain, here one with questionable personal motives but one where one can see his point of view and empathise. Although his actions are inconsistent and don't always make sense and he could have been more threatening, generally he is one of the better Marvel villains and the most developed character in a film too full of stock ones (the titular character being the other exception). 'Black Panther' has faults however. Most of the characters are stock and clichéd, while some of the first half is too talky, the film is a little slow-going and confused to start with and some of the political elements are laid on too thick. Adding to the general feel that, even with the splashes of humour, the film takes itself too seriously and with the amount of predictability it has doesn't do enough new with a novel concept. There are exceptions to the cast. Forrest Whittaker is wasted as a non-developed character with too short screen time, on top of the scene being rushed his final scene has no impact as a result. Martin Freeman is too fish out of water as well. Although some of the effects are spectacular, others are very ropy. Especially in the final action scene between Black Panther and Killmonger which resembled a very early days/years video game. That scene also felt rushed, sometimes vaguely choreographed and anti-climactic, though the whole climax felt over-stuffed and too busy. Overall, decent and interesting but was expecting more. Personally don't think it's the best Marvel film, while a long way from bad let alone terrible, for me it's one of the weaker ones. 6/10 Bethany Cox"
" Most overrated MCU movie and extremely generic
","





1/10
","I managed to see this movie again during the weekend, preparing for Captain Marvel, and I felt I had to do a review on this movie. Especially since Cap was such a great movie in comparison.Black Panther is not only the most overrated MCU movie so far, I would go so far as to say it is one of the most overrated movies of all time.
It is not horrible bad per se, it is just so darn boring.
The reason it is so boring is partly because it is super generic - bad guy wants hero´s stuff/title, bad guy fights good guy and ""wins"", good guy comes back reinforced/trained/equipped or with allies and wins in the end. That is it. That is the movie. Which would be fine-ish if the movie had something else to offer, but except for clothing and music, it does not.
The second reason this movie is so boring is because there is no excitment - the movie is so predictable that after 10min I could tell you exactly what would happen. Well, I did not know that the villain, who is the most Hitleresque character I have seen in a movie, had ancestors jumping into the sea dying because they wanted to be free. He was Wakandan, no slaves there.. so what was he talking about?But yes, lets talk villains. Claw was great for the time he was in the movie, and the Rhino dude had decent motivation so okay I will buy that. But the main villain of the story want to spread weapons, conquer, and save people that ""look like him"". All in a nationalistic very neo-fascist fashion. Almost all of his speaches mimic Hitler, if you do not believe me, check out a clip of Hitler and compare. Uncanny likeness. And this is a villain so many can relate to? Weird.Something else that stod out was the bad CGi, what happen Marvel? Why suddenly so bad computer graphics? The two CGi suits fighting in the end took me so far out of the movie that I starting to think of what to eat for lunch the day after.And finally this is the most political Marvel movie to date. In some aspects I both expected it and can think it is necessary - it is very hard to talk Africa in this context and not mention slavery. HOWEVER, In the MCU, Wakanda is located just north of Lake Turkana, at a point bordering Kenya, Ethiopia, Uganda, and South Sudan. Do you know who took slaves there historically? It was not white men, nor christians... so... why was that not mention?
And the wall thingie at the end, was that really necessary? Felt out of place, out of character, and too much on the nose.I give this a 3/10, and I think Black Panther is the second or third worst Marvel movie so far. As part of that universe it should perhaps not be overlooked by fans, but otherwise I cannot recommend this at all. So, so boring movie. Even The Incredible Hulk, Iron Man 2, all of the Thor movies, hell even Justice League, was more fun then this. Not bad, just bland, boring, predictable, extremely generic, and did I mention boring?"
" Disappointing
","





2/10
","This was supposed to be the newest and best Marvel movie. It was also supposed to be deeper than a super hero movie. Well, basically all they did was put African-Americans in the role of the main characters and followed the same exact formula of every other Marvel movie ever created. The action was mediocre at best. The villain was good, but at the point when he truly started to flesh out his character, I was bored and realized I was watching a movie. I literally said what was going to happen about 30 minutes before it happened. Now if you like super hero films, which I happen to not but if you do I am sure you will have fun and enjoy this film. But, in my opinion this movie had th intensity of a haircut and was a boring commercial to sell toys."
